"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","response"
"true","false","[]","[]","[]","preload","0","19","0.0-0.0","dctl9f26yo3a8gy","conditionA","","",""
"true","","","","","fullscreen","1","3907","0.0-1.0","dctl9f26yo3a8gy","conditionA","2885","",""
"","","","","","image-button-response","2","5715","0.0-2.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","image-button-response","3","10218","0.0-3.0","dctl9f26yo3a8gy","conditionA","null","[""images/celebrities/1.png""]","null"
"","","","","","image-button-response","4","12274","0.0-4.0","dctl9f26yo3a8gy","conditionA","2054","[]","2"
"","","","","","image-button-response","5","14087","0.0-5.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","image-button-response","6","15899","0.0-6.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","image-button-response","7","20401","0.0-7.0","dctl9f26yo3a8gy","conditionA","null","[""images/celebrities/3.png""]","null"
"","","","","","image-button-response","8","21371","0.0-8.0","dctl9f26yo3a8gy","conditionA","968","[]","2"
"","","","","","image-button-response","9","23174","0.0-9.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","image-button-response","10","24978","0.0-10.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","image-button-response","11","29486","0.0-11.0","dctl9f26yo3a8gy","conditionA","null","[""images/celebrities/5.png""]","null"
"","","","","","image-button-response","12","32193","0.0-12.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","image-button-response","13","34000","0.0-13.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","image-button-response","14","35815","0.0-14.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","image-button-response","15","40318","0.0-15.0","dctl9f26yo3a8gy","conditionA","null","[""images/celebrities/7.png""]","null"
"","","","","","image-button-response","16","43034","0.0-16.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","image-button-response","17","44849","0.0-17.0","dctl9f26yo3a8gy","conditionA","null","[]","null"
"","","","","","survey-text","18","60742","0.0-18.0","dctl9f26yo3a8gy","conditionA","15888","","{""Q0"":""6""}"
